time,target_Q,Q,WHP,FLP,BHP,choke,status,method,solve_time_ms,solver_iters,active_limit,is_safe,violation
15,60,60.31024164508154,2047.5068126616798,416.85685957134064,2480.885232162462,59.42,TRACKING,SCIPY_SLSQP,355.2,4,,True,
16,60,60.01384613291234,2047.7509162346287,415.6386235360107,2475.438038061271,59.08,TRACKING,SCIPY_SLSQP,435.1,5,,True,
17,60,59.914207064267345,2050.4654240946625,411.50320993593834,2467.537961962312,59.35,TRACKING,SCIPY_SLSQP,341.1,4,,True,
18,60,60.00898605619819,2046.661788832801,416.14443742335527,2454.657514307569,59.48,TRACKING,SCIPY_SLSQP,361.9,4,,True,
19,60,59.91262452543791,2047.8692521865896,418.09519834270134,2456.1232749252604,59.39,TRACKING,SCIPY_SLSQP,381.9,4,,True,
20,60,59.76710946275319,2046.0960391992498,417.5284093296105,2456.3249251881334,59.48,TRACKING,SCIPY_SLSQP,356.7,4,,True,
21,60,59.92541868324389,2046.4639680720368,416.9617692755905,2456.151286495541,59.64,TRACKING,SCIPY_SLSQP,341.4,4,,True,
22,60,59.85565031945075,2045.7485627040594,415.9152732329201,2447.755471419656,59.49,TRACKING,SCIPY_SLSQP,188.6,2,,True,
23,60,60.16824349718139,2046.4411023680573,416.62005780187496,2450.498576715233,59.55,TRACKING,SCIPY_SLSQP,367.4,4,,True,
24,60,59.546599375334424,2047.2825140969817,415.03327419262354,2448.9412176253163,59.24,TRACKING,SCIPY_SLSQP,347.0,4,,True,
25,60,60.08680668225464,2045.4782571481105,420.11801051129555,2450.418146627913,59.83,TRACKING,SCIPY_SLSQP,670.7,8,,True,
26,60,60.117138528395365,2046.7246514027431,413.285404613035,2450.0430591282266,59.35,TRACKING,SCIPY_SLSQP,424.3,5,,True,
27,60,59.98063690423106,2051.683787193305,415.21576452367594,2451.401991596986,59.27,TRACKING,SCIPY_SLSQP,338.1,4,,True,
28,60,59.96166268660151,2045.8112644087485,417.46062249394066,2452.6768180988447,59.4,TRACKING,SCIPY_SLSQP,344.3,4,,True,
29,60,60.22524397786683,2045.8721651574265,418.0378591351119,2446.0816297764877,59.43,TRACKING,SCIPY_SLSQP,278.4,3,,True,
30,60,60.07555986297235,2052.0309123336006,413.5866536651118,2449.180983657843,59.17,TRACKING,SCIPY_SLSQP,346.4,4,,True,
31,60,59.933398357458316,2047.6832517098621,412.9211816372314,2451.1645182397697,59.3,TRACKING,SCIPY_SLSQP,258.8,3,,True,
32,60,59.642357194903745,2048.113739612765,414.45918602210895,2455.268275332764,59.45,TRACKING,SCIPY_SLSQP,347.6,4,,True,
33,60,59.86933799565922,2044.6523164446817,418.35721746830393,2445.8649597858544,59.76,TRACKING,SCIPY_SLSQP,429.2,5,,True,
34,60,60.17036468984143,2047.5799536240002,414.4478645018952,2449.880941259422,59.56,TRACKING,SCIPY_SLSQP,251.8,3,,True,
35,60,60.060535083923156,2048.942789733059,413.7741538133718,2446.047180714061,59.24,TRACKING,SCIPY_SLSQP,363.1,4,,True,
36,60,60.10903069228481,2048.434411727568,415.87967298869694,2451.3228585967477,59.32,TRACKING,SCIPY_SLSQP,267.5,3,,True,
37,60,59.71855506760713,2048.6592484505018,415.75956239094086,2448.4427530605267,59.28,TRACKING,SCIPY_SLSQP,329.7,4,,True,
38,60,60.61160521467752,2046.7062317928603,414.8573552877182,2451.741011627093,59.67,TRACKING,SCIPY_SLSQP,416.1,5,,True,
39,60,59.50517326132065,2051.760884175234,415.76876395990155,2449.0057655334977,58.81,TRACKING,SCIPY_SLSQP,774.5,9,,True,
